label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
timestamp,TP,Last reported time of observation from the vehicle. SameAs: 'timestamp' field from GTFS Realtime message-Vehicleposition (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicleposition),TransitManagement,"DateTime, ValueDescriptor",GTFS:timestamp,POSITION_UPDATE_TIMESTAMP,1,0,GTFS:VehiclePosition
,,,,,,,,,
current_status,TXP,"Vehicle status Indiaction to denote if the bus is InTransit(Running), haulted at a stop or idle at a depot.SameAs: 'current_status' field from GTFS Realtime message-Vehicleposition (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicleposition)",TransitManagement,"Text, ValueDescriptor",GTFS:current_status,CURRENT_STATUS,1,0,GTFS:VehiclePosition
trip_id,TXP,"Trip ID/Trip name alloted to the bus corresponding to this observation, in consideration to the time of the day and the direction of the trip on the given routeId. SameAs: 'trip_id' field from GTFS Realtime message-TripDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-tripdescriptor)",TransitManagement,"Text, ValueDescriptor",GTFS:trip_id,TRIP_ID,1,0,GTFS:TripDescriptor
stop_id,TXP,Stop ID/Stop name of the bus stops corresponding to the bus in this observation. SameAs: 'stop_id' field from GTFS Realtime message-Vehicleposition (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicleposition),TransitManagement,"Text, ValueDescriptor",GTFS:stop_id,STOP_ID,1,0,GTFS:VehiclePosition
route_id,TXP,Route ID assigned to the route on which the bus/vehicle corresponding to the bus in this observation is currently plying on. SameAs: 'route_id' field from GTFS Realtime message-TripDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-tripdescriptor),TransitManagement,"Text, ValueDescriptor",GTFS:route_id,ROUTE_ID,1,0,GTFS:TripDescriptor
stop_name,TXP,Describes the name of the Bus Stop. SameAs: 'stop_name' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Text, ValueDescriptor",GTFS:stop_name,STOP_NAME,1,0,GTFS:Static:Stops
current_stop_sequence,QP,Sequence ID/sequence number for the current stop along the designated route. SameAs: 'current_stop_sequence' field from GTFS Realtime message-Vehicleposition (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicleposition),TransitManagement,"Number, ValueDescriptor",GTFS:current_stop_sequence,CURRENT_STOP_SEQUENCE,1,0,GTFS:VehiclePosition
route_short_name,TXP,"Short name of a route. This will often be the transit vehicle's board name like ""402D"",  or ""Green"" that riders use to identify a route. SameAs: 'route_short_name' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt)",TransitManagement,"Text, ValueDescriptor",GTFS:route_short_name,,1,0,GTFS:Static:Routes
route_long_name,TXP,Full name of a route. This name is more descriptive than the routeShortName and often includes the route's destination or stop. This mostly includes the to and from destination names of the route. SameAs: 'route_long_name' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt),TransitManagement,"Text, ValueDescriptor",GTFS:route_long_name,ROUTE_NAME,1,0,GTFS:Static:Routes
route_desc,TXP,Description of the route. This can include the entire route details including to and from destination and timing information in a text description form. SameAs: 'route_desc' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt),TransitManagement,"Text, ValueDescriptor",GTFS:route_desc,,1,0,GTFS:Static:Routes
route_type,TXP,"Number indicating the type of transport-
1 - Subway, Metro. Any underground rail system within a metropolitan area.
2 - Rail. Used for intercity or long-distance travel.
3 - Bus. Used for short- and long-distance bus routes. 
SameAs: 'route_type' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt)",TransitManagement,"Text, Number, ValueDescriptor",GTFS:route_type,,1,0,GTFS:Static:Routes
vehicle_id,TXP,Name of the bus/vehicle corresponding to this observation. SameAs: 'id' field from GTFS Realtime message-VehicleDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicledescriptor),TransitManagement,"Text, ValueDescriptor",GTFS:id,NAME,1,0,GTFS:VehicleDescriptor
license_plate,TXP,Gives the License Plate number of the vehice. SameAs: 'license_plate' field from GTFS Realtime message-VehicleDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicledescriptor),TransitManagement,"Text, ValueDescriptor",GTFS:license_plate,,1,0,GTFS:VehicleDescriptor
schedule_relationship,TXP,Describes if the Route/Trip has been scheduled. SameAs: 'schedule_relationship' field from enumScheduleRelationship (https://developers.google.com/transit/gtfs-realtime/reference#enum-schedulerelationship-2),TransitManagement,"Text, ValueDescriptor",GTFS:Schedule_Relationship,SCHEDULE_RELATIONSHIP,1,0,GTFS:ScheduleRelationship
,,,,,,,1,,
,,,,,,,1,,
position,GP,Gives the current position of the vehicle. SameAs:'Position' from GTFS- Realtime message-Position  (https://developers.google.com/transit/gtfs-realtime/reference#message-position),TransitManagement,GeoCoordinates,GTFS:position,,1,0,GTFS:Position
latitude,GP,Current latitude position obtained from the bus/vehicle corresponding to this observation. SameAs 'latitude' from GTFS- Realtime message-Position  (https://developers.google.com/transit/gtfs-realtime/reference#message-position),TransitManagement,"Text, ValueDescriptor",GTFS:latitude,LATITUDE_STR,1,1,GTFS:Position
longitude,GP,Current longitude position obtained from the bus/vehicle corresponding to this observation. SameAs 'longitude' from GTFS- Realtime message-Position  (https://developers.google.com/transit/gtfs-realtime/reference#message-position),TransitManagement,"Text, ValueDescriptor",GTFS:longitude,LONGITUDE_STR,1,1,GTFS:Position
