label,type,comment,domainIncludes,rangeIncludes,exactMatch,older_labels,fromOtherSchemas,fromBaseSchemas,Reference Link 
,,,,,,,,,
agency_id ,TXP,ID that uniquely identifies a transit agency. A transit feed may represent data from more than one agency. The agency_id is dataset unique. This field is optional for transit feeds that only contain data for a single agency. SameAs: 'agency_id' field from GTFS Static Field Definition - agency.txt (https://developers.google.com/transit/gtfs/reference#agencytxt),TransitManagement,"Text, ValueDescriptor",GTFS: agency_id,,0,0,
agency_name ,TXP,The agency_name field contains the full name of the transit agency. SameAs: 'agency_name' field from GTFS Static Field Definition - agency.txt (https://developers.google.com/transit/gtfs/reference#agencytxt),TransitManagement,"Text, ValueDescriptor",GTFS: agency_name,,0,0,
agency_url ,TXP,The agency_url field contains the URL of the transit agency. SameAs: 'agency_url' field from GTFS Static Field Definition - agency.txt (https://developers.google.com/transit/gtfs/reference#agencytxt),TransitManagement,"Text, ValueDescriptor",GTFS: agency_url,,0,0,
agency_timezone ,TXP,Timezone field contains the timezone where the transit agency is located. SameAs: 'agency_timezone' field from GTFS Static Field Definition - agency.txt (https://developers.google.com/transit/gtfs/reference#agencytxt),TransitManagement,"Text, ValueDescriptor",GTFS:agency_timezone,,0,0,
agency_lang ,TXP,Contains a two-letter ISO 639-1 code for the primary language used by this transit agency. The language code is case-insensitive (both en and EN are accepted). SameAs: 'agency_lang' field from GTFS Static Field Definition - agency.txt (https://developers.google.com/transit/gtfs/reference#agencytxt),TransitManagement,"Text, ValueDescriptor",GTFS: agency_lang,,0,0,
,,,,,,,,,
route_id,TXP,"Route ID assigned to the route on which the bus/vehicle corresponding to the bus in this observation is currently plying on. SameAs: 'route_id' field from GTFS Realtime message-TripDescriptor <a href= ""https://developers.google.com/transit/gtfs-realtime/reference#message-tripdescriptor"">https://developers.google.com/transit/gtfs-realtime/reference#message-tripdescriptor</a>",TransitManagement,"Text, ValueDescriptor",GTFS: route_id,,1,0,
route_short_name,TXP,"Short name of a route. This will often be the transit vehicle's board name like ""402D"",  or ""Green"" that riders use to identify a route. SameAs: 'route_short_name' field from GTFS Static Field definitions-routes.txt <a href=""https://developers.google.com/transit/gtfs/reference#routestxt"">https://developers.google.com/transit/gtfs/reference#routestxt</a>",TransitManagement,"Text, ValueDescriptor",GTFS: route_short_name,,1,0,
route_long_name,TXP,"Full name of a route. This name is more descriptive than the routeShortName and often includes the route's destination or stop. This mostly includes the to and from destination names of the route. SameAs: 'route_long_name' field from GTFS Static Field definitions-routes.txt <a href=""https://developers.google.com/transit/gtfs/reference#routestxt"">https://developers.google.com/transit/gtfs/reference#routestxt</a>",TransitManagement,"Text, ValueDescriptor",GTFS: route_long_name,,1,0,
route_desc,TXP,"Description of the route. This can include the entire route details including to and from destination and timing information in a text description form. SameAs: 'route_desc' field from GTFS Static Field definitions-routes.txt <a href=""https://developers.google.com/transit/gtfs/reference#routestxt"">https://developers.google.com/transit/gtfs/reference#routestxt</a>",TransitManagement,"Text, ValueDescriptor",GTFS: route_desc,,1,0,
route_type,TXP,"Number indicating the type of transport-
1 - Subway, Metro. Any underground rail system within a metropolitan area.
2 - Rail. Used for intercity or long-distance travel.
3 - Bus. Used for short- and long-distance bus routes. 
SameAs: 'route_type' field from GTFS Static Field definitions-routes.txt <a href=""https://developers.google.com/transit/gtfs/reference#routestxt"">https://developers.google.com/transit/gtfs/reference#routestxt</a>",TransitManagement,"Text, ValueDescriptor",GTFS: route_type,,1,0,
route_url,TXP,Contains the URL of a web page about that particular route and is different from the agency_url. SameAs: 'route_url' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt),TransitManagement,"Text, ValueDescriptor",GTFS: route_url,,0,0,
route_color,TXP,"If assigned, this field defines a color that corresponds to a route. The color must be provided as a six-character hexadecimal number, for example, 00FFFF. If no color is specified, the default route color is white (FFFFFF). SameAs: 'route_color' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt)",TransitManagement,"Text, ValueDescriptor",GTFS: route_color,,0,0,
route_text_color,TXP,"This field can be used to specify a legible color to use for text drawn against a background of route_color. The color must be provided as a six-character hexadecimal number, for example, FFD700. If no color is specified, the default text color is black (000000). SameAs: 'route_text_color' field from GTFS Static Field definitions-routes.txt (https://developers.google.com/transit/gtfs/reference#routestxt)",TransitManagement,"Text, ValueDescriptor",GTFS: route_text_color,,0,0,
,,,,,,,,,
stop_name,TXP,Describes the name of a stop or station. SameAs: 'stop_name' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Text, ValueDescriptor",GTFS: stop_name,,1,0,
stop_code,TXP,This field contains short text or a number that uniquely identifies the stop for passengers. Can be same as stop_id if it is for public. SameAs: 'stop_code' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Text, ValueDescriptor",GTFS: stop_code,,0,0,
stop_desc,TXP,This field contains a description of a stop. SameAs: 'stop_desc' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Text, ValueDescriptor",GTFS: stop_desc,,0,0,
stop_lat,GP,This field contains the latitude of a stop or station. SameAs: 'stop_lat' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Place, ValueDescriptor",GTFS: stop_lat,,0,0,
stop_lon,GP,This field contains the longitude of a stop or station. SameAs: 'stop_lon' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Place, ValueDescriptor",GTFS: stop_long,,0,0,
zone_id,TXP,This field defines the fare zone for a stop ID. SameAs: 'zone_id' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Text, ValueDescriptor",GTFS: zone_id,,1,0,
stop_url,TXP,This field contains the URL of a web page about a particular stop and is different from the agency_url and the route_url fields. SameAs: 'stop_url' field from GTFS Static Field definitions-stops.txt (https://developers.google.com/transit/gtfs/reference#stopstxt),TransitManagement,"Text, ValueDescriptor",GTFS: stop_url,,0,0,
,,,,,,,,,
route_id ,TXP,Route ID assigned to the route on which the bus/vehicle corresponding to the bus in this observation is currently plying on. SameAs: 'route_id' field from GTFS Realtime message-TripDescriptor (https://developers.google.com/transit/gtfs-realtime/reference#message-tripdescriptor),TransitManagement,"Text, ValueDescriptor",GTFS: route_id,,1,0,
stop_sequence_detail,SP,Describes the stop sequence for a trip in the designated route made by the public transit vehicle. SameAs: 'stop_sequence' field from GTFS Static Field definitions-stop_times.txt (https://developers.google.com/transit/gtfs/reference#stop_timestxt),TransitManagement,Sequence,GTFS: stop_sequence,,0,0,
,,,,,,,,,
stop_id,TXP,Stop ID/Stop name of the bus stops corresponding to the bus in this observation. SameAs: 'stop_id' field from GTFS Realtime message-Vehicleposition (https://developers.google.com/transit/gtfs-realtime/reference#message-vehicleposition),TransitManagement,"Text, ValueDescriptor",GTFS: stop_id,,1,0,
